"`patent`.`patent_assignee`","`PatentsView`.`temp_lawyer_num_assignees`"
"`PatentsView`.`temp_lawyer_num_assignees`","`PatentsView`.`lawyer`"
"`patent`.`patent_lawyer`","`PatentsView`.`temp_lawyer_num_inventors`"
"`patent`.`patent_inventor`","`PatentsView`.`temp_lawyer_num_inventors`"
"`PatentsView`.`temp_lawyer_num_inventors`","`PatentsView`.`lawyer`"
"`patent`.`patent_lawyer`","`PatentsView`.`temp_lawyer_years_active`"
"`patent`.`patents`","`PatentsView`.`temp_lawyer_years_active`"
"`PatentsView`.`temp_lawyer_years_active`","`PatentsView`.`lawyer`"
"`patent`.`cpc_current`","`PatentsView`.`temp_cpc_current_subsection_aggregate_counts`"
"`patent`.`patent_assignee`","`PatentsView`.`temp_cpc_current_subsection_aggregate_counts`"
"`patent`.`location`","`PatentsView`.`temp_cpc_current_subsection_aggregate_counts`"
"`patent`.`patent_inventor`","`PatentsView`.`temp_cpc_current_subsection_aggregate_counts`"
"`PatentsView`.`patent`","`PatentsView`.`temp_cpc_current_subsection_aggregate_counts`"
"`PatentsView`.`temp_cpc_current_subsection_aggregate_counts`","`PatentsView`.`cpc_current`"
"`PatentsView`.`temp_cpc_current_subsection_aggregate_counts`","`PatentsView`.`cpc_current_subsection`"
"`patent`.`cpc_subsection`","`PatentsView`.`temp_cpc_subsection_title`"
"`PatentsView`.`temp_cpc_subsection_title`","`PatentsView`.`cpc_current`"
"`PatentsView`.`temp_cpc_subsection_title`","`PatentsView`.`cpc_current_subsection`"
"`patent`.`cpc_current`","`PatentsView`.`temp_cpc_current_group_aggregate_counts`"
"`patent`.`patent_assignee`","`PatentsView`.`temp_cpc_current_group_aggregate_counts`"
"`patent`.`patent_inventor`","`PatentsView`.`temp_cpc_current_group_aggregate_counts`"
"`PatentsView`.`patent`","`PatentsView`.`temp_cpc_current_group_aggregate_counts`"
"`PatentsView`.`temp_cpc_current_group_aggregate_counts`","`PatentsView`.`cpc_current`"
"`PatentsView`.`temp_cpc_current_group_aggregate_counts`","`PatentsView`.`cpc_current_group`"
"`patent`.`cpc_group`","`PatentsView`.`temp_cpc_group_title`"
"`PatentsView`.`temp_cpc_group_title`","`PatentsView`.`cpc_current`"
"`PatentsView`.`temp_cpc_group_title`","`PatentsView`.`cpc_current_group`"
"`patent`.`cpc_subgroup`","`PatentsView`.`temp_cpc_subgroup_title`"
"`PatentsView`.`temp_cpc_subgroup_title`","`PatentsView`.`cpc_current`"
"`patent`.`ipcr`","`PatentsView`.`temp_ipcr_aggregations`"
"`patent`.`patent_assignee`","`PatentsView`.`temp_ipcr_aggregations`"
"`patent`.`patent_inventor`","`PatentsView`.`temp_ipcr_aggregations`"
"`PatentsView`.`temp_ipcr_aggregations`","`PatentsView`.`ipcr`"
"`patent`.`ipcr`","`PatentsView`.`temp_ipcr_years_active`"
"`PatentsView`.`patent`","`PatentsView`.`temp_ipcr_years_active`"
"`PatentsView`.`temp_ipcr_years_active`","`PatentsView`.`ipcr`"
"`patent`.`nber`","`PatentsView`.`temp_nber_subcategory_aggregate_counts`"
"`patent`.`patent_assignee`","`PatentsView`.`temp_nber_subcategory_aggregate_counts`"
"`patent`.`patent_inventor`","`PatentsView`.`temp_nber_subcategory_aggregate_counts`"
"`PatentsView`.`patent`","`PatentsView`.`temp_nber_subcategory_aggregate_counts`"
"`PatentsView`.`temp_nber_subcategory_aggregate_counts`","`PatentsView`.`nber`"
"`patent`.`uspc_current`","`PatentsView`.`temp_mainclass_current_aggregate_counts`"
"`patent`.`patent_assignee`","`PatentsView`.`temp_mainclass_current_aggregate_counts`"
"`patent`.`patent_inventor`","`PatentsView`.`temp_mainclass_current_aggregate_counts`"
"`PatentsView`.`patent`","`PatentsView`.`temp_mainclass_current_aggregate_counts`"
"`PatentsView`.`temp_mainclass_current_aggregate_counts`","`PatentsView`.`uspc_current`"
"`patent`.`mainclass_current`","`PatentsView`.`temp_mainclass_current_title`"
"`PatentsView`.`temp_mainclass_current_title`","`PatentsView`.`uspc_current`"
"`patent`.`subclass_current`","`PatentsView`.`temp_subclass_current_title`"
"`PatentsView`.`temp_subclass_current_title`","`PatentsView`.`uspc_current`"
"`patent`.`application`","`PatentsView`.`application`"
"`PatentsView`.`patent_assignee`","`PatentsView`.`assignee_cpc_group`"
"`PatentsView`.`cpc_current_group`","`PatentsView`.`assignee_cpc_group`"
"`PatentsView`.`patent_assignee`","`PatentsView`.`assignee_cpc_subsection`"
"`PatentsView`.`cpc_current_subsection`","`PatentsView`.`assignee_cpc_subsection`"
"`PatentsView`.`patent_assignee`","`PatentsView`.`assignee_inventor`"
"`PatentsView`.`patent_inventor`","`PatentsView`.`assignee_inventor`"
"`PatentsView`.`patent_assignee`","`PatentsView`.`assignee_nber_subcategory`"
"`PatentsView`.`nber`","`PatentsView`.`assignee_nber_subcategory`"
"`PatentsView`.`patent_assignee`","`PatentsView`.`assignee_uspc_mainclass`"
"`PatentsView`.`uspc_current_mainclass`","`PatentsView`.`assignee_uspc_mainclass`"
"`PatentsView`.`patent_assignee`","`PatentsView`.`assignee_year`"
"`PatentsView`.`patent`","`PatentsView`.`assignee_year`"
"`PatentsView`.`patent_assignee`","`PatentsView`.`assignee_year`"
"`PatentsView`.`patent`","`PatentsView`.`assignee_year`"
	
"`PatentsView`.`cpc_current`","`PatentsView`.`cpc_current_group_application_year`"
"`PatentsView`.`patent`","`PatentsView`.`cpc_current_group_application_year`"
"`PatentsView`.`cpc_current_group_application_year`","`PatentsView`.`patent2`"
"`patent`.`cpc_current`","`PatentsView`.`cpc_current_group_patent_year`"
"`PatentsView`.`patent`","`PatentsView`.`cpc_current_group_patent_year`"
"`patent`.`cpc_current`","`PatentsView`.`cpc_current_subsection_patent_year`"
"`PatentsView`.`patent`","`PatentsView`.`cpc_current_subsection_patent_year`"
"`patent`.`foreign_priority`","`PatentsView`.`foreignpriority`"
"`PatentsView`.`patent`","`PatentsView`.`foreignpriority`"
"`patent`.`government_interest`","`PatentsView`.`government_interest`"
"`patent`.`patent_inventor`","`PatentsView`.`inventor_coinventor`"
"`PatentsView`.`patent_inventor`","`PatentsView`.`inventor_cpc_group`"
"`PatentsView`.`cpc_current_group`","`PatentsView`.`inventor_cpc_group`"
"`PatentsView`.`patent_inventor`","`PatentsView`.`inventor_cpc_subsection`"
"`PatentsView`.`cpc_current_subsection`","`PatentsView`.`inventor_cpc_subsection`"
"`PatentsView`.`patent_inventor`","`PatentsView`.`inventor_nber_subcategory`"
"`PatentsView`.`nber`","`PatentsView`.`inventor_nber_subcategory`"
"`PatentsView`.`patent_inventor`","`PatentsView`.`inventor_uspc_mainclass`"
"`PatentsView`.`uspc_current_mainclass`","`PatentsView`.`inventor_uspc_mainclass`"
"`PatentsView`.`patent_inventor`","`PatentsView`.`patent_year`"
"`PatentsView`.`patent`","`PatentsView`.`patent_year`"
"`patent`.`nber`","`PatentsView`.`nber_subcategory_patent_year`"
"`PatentsView`.`patent`","`PatentsView`.`nber_subcategory_patent_year`"
"`patent`.`patent_contractawardnumber`","`PatentsView`.`patent_contractawardnumber`"
"`patent`.`pctdata`","`PatentsView`.`pctdata`"
"`PatentsView`.`patent`","`PatentsView`.`pctdata`"
"`patent`.`usapplicationcitation`","`PatentsView`.`usapplicationcitation`"
"`PatentsView`.`patent`","`PatentsView`.`usapplicationcitation`"
"`PatentsView`.`uspatentcitation`","`PatentsView`.`uspatentcitation`"
"`PatentsView`.`patent`","`PatentsView`.`uspatentcitation`"
"`PatentsView`.`uspc_current`","`PatentsView`.`uspc_current_mainclass_application_year`"
"`PatentsView`.`patent`","`PatentsView`.`uspc_current_mainclass_application_year`"
"`PatentsView`.`uspc_current_mainclass_application_year`","`PatentsView`.`patent3`"
"`patent`.`uspc_current`","`PatentsView`.`uspc_current_mainclass_patent_year`"
"`PatentsView`.`patent`","`PatentsView`.`uspc_current_mainclass_patent_year`"
"`PatentsView`.`uspc_current`","`PatentsView`.`uspc_current_mainclass`"
"`PatentsView`.`temp_mainclass_current_title`","`PatentsView`.`uspc_current_mainclass`"
"`PatentsView`.`temp_mainclass_current_aggregate_counts`","`PatentsView`.`uspc_current_mainclass`"
"`PatentsView`.`uspc_current_mainclass`","`PatentsView`.`inventor_uspc_mainclass`"
"`PatentsView`.`uspc_current_mainclass`","`PatentsView`.`assignee_uspc_mainclass`"
"`PatentsView`.`uspc_current_mainclass`","`PatentsView`.`assignee_uspc_mainclass`"
"`PatentsView`.`uspc_current_mainclass`","`PatentsView`.`location_uspc_mainclass`"
"`patent`.`wipo`","`PatentsView`.`wipo`"
"`patent`.`wipo_field`","`PatentsView`.`wipo_field`"
"`patent`.`government_organization`","`PatentsView`.`government_organization`"`
"`patent`.`patent_govintorg`","`PatentsView`.`patent_govintorg`"`
