`PatentsView`.`uspc_current_mainclass`,6
`PatentsView`.`uspc_current_mainclass_application_year`,6
`PatentsView`.`cpc_current_group_application_year`,6
`PatentsView`.`assignee_nber_subcategory`,6
`PatentsView`.`location_nber_subcategory`,6
`PatentsView`.`cpc_group`,6
`PatentsView`.`cpc_subgroup`,6
`PatentsView`.`nber_category`,6
`PatentsView`.`nber_subcategory`,6
`PatentsView`.`uspc_mainclass`,6
`PatentsView`.`uspc_subclass`,6
`PatentsView`.`uspc_current_copy`,6
`PatentsView`.`cpc_current_copy`,6
`PatentsView`.`nber_copy`,6
`PatentsView`.`inventor_rawinventor`,6
`PatentsView`.`inventor_cpc_subsection`,7
`PatentsView`.`inventor_cpc_group`,7
`PatentsView`.`inventor_uspc_mainclass`,7
`PatentsView`.`assignee_cpc_subsection`,7
`PatentsView`.`assignee_cpc_group`,7
`PatentsView`.`assignee_uspc_mainclass`,7
`PatentsView`.`location_cpc_subsection`,7
`PatentsView`.`location_cpc_group`,7
`PatentsView`.`location_uspc_mainclass`,7
`PatentsView`.`uspc_current_mainclass_copy`,7
`PatentsView`.`cpc_current_subsection_copy`,7
`PatentsView`.`cpc_current_group_copy`,7
